service_id,route_id,count
DIM,12E,16
DIM,12O,16
DIM,144E,26
DIM,144O,27
DIM,151N,28
DIM,151S,27
DIM,17N,23
DIM,17S,21
DIM,20E,17
DIM,20O,16
DIM,222E,6
DIM,222O,6
DIM,22E,16
DIM,22O,14
DIM,24E,28
DIM,24O,28
DIM,26E,47
DIM,26O,51
DIM,27N,18
DIM,27S,18
DIM,313N,1
DIM,313S,1
DIM,31N,18
DIM,31S,20
DIM,33N,12
DIM,33S,11
DIM,360N,25
DIM,37N,13
DIM,37S,13
DIM,39N,26
DIM,39S,24
DIM,40E,26
DIM,40O,26
DIM,42E,50
DIM,42O,50
DIM,43N,20
DIM,43S,20
DIM,45N,18
DIM,45S,18
DIM,46N,30
DIM,46S,29
DIM,48E,20
DIM,48O,19
DIM,50E,25
DIM,50O,25
DIM,52E,19
DIM,52O,18
DIM,55N,17
DIM,55S,18
DIM,56E,27
DIM,56O,27
DIM,58E,18
DIM,58O,17
DIM,60E,17
DIM,60O,19
DIM,61N,19
DIM,61S,18
DIM,63N,19
DIM,63S,17
DIM,65N,19
DIM,65S,17
DIM,66E,27
DIM,66O,26
DIM,70E,26
DIM,70O,28
DIM,73N,19
DIM,73S,21
DIM,74E,17
DIM,74O,18
DIM,76E,31
DIM,76O,29
DIM,903N,17
DIM,903S,15
SAM,12E,17
SAM,12O,17
SAM,144E,28
SAM,144O,28
SAM,151N,29
SAM,151S,27
SAM,17N,24
SAM,17S,21
SAM,20E,18
SAM,20O,18
SAM,222E,8
SAM,222O,7
SAM,22E,17
SAM,22O,16
SAM,24E,30
SAM,24O,30
SAM,26E,51
SAM,26O,51
SAM,27N,21
SAM,27S,20
SAM,2E,3
SAM,2O,2
SAM,313N,1
SAM,313S,1
SAM,31N,19
SAM,31S,21
SAM,33N,12
SAM,33S,11
SAM,360N,36
SAM,37N,13
SAM,37S,13
SAM,39N,26
SAM,39S,24
SAM,40E,27
SAM,40O,27
SAM,42E,51
SAM,42O,51
SAM,43N,20
SAM,43S,22
SAM,45N,18
SAM,45S,18
SAM,46N,30
SAM,46S,30
SAM,48E,22
SAM,48O,23
SAM,50E,25
SAM,50O,26
SAM,52E,21
SAM,52O,19
SAM,55N,18
SAM,55S,18
SAM,56E,27
SAM,56O,28
SAM,58E,19
SAM,58O,19
SAM,60E,19
SAM,60O,20
SAM,61N,20
SAM,61S,19
SAM,63N,21
SAM,63S,21
SAM,65N,21
SAM,65S,18
SAM,66E,27
SAM,66O,26
SAM,70E,26
SAM,70O,28
SAM,73N,22
SAM,73S,23
SAM,74E,17
SAM,74O,18
SAM,76E,31
SAM,76O,31
SAM,903N,18
SAM,903S,17
SEM,12E,21
SEM,12O,21
SEM,144E,38
SEM,144O,40
SEM,151N,65
SEM,151S,67
SEM,17N,40
SEM,17S,39
SEM,20E,21
SEM,20O,20
SEM,222E,14
SEM,222O,18
SEM,22E,20
SEM,22O,21
SEM,24E,39
SEM,24O,42
SEM,252E,7
SEM,252O,8
SEM,26E,89
SEM,26O,92
SEM,27N,28
SEM,27S,27
SEM,2E,4
SEM,2O,7
SEM,313N,2
SEM,313S,2
SEM,31N,31
SEM,31S,35
SEM,33N,24
SEM,33S,25
SEM,36E,9
SEM,36O,9
SEM,37N,35
SEM,37S,33
SEM,39N,28
SEM,39S,30
SEM,40E,45
SEM,40O,45
SEM,41N,5
SEM,41S,4
SEM,42E,78
SEM,42O,76
SEM,43N,24
SEM,43S,26
SEM,45N,27
SEM,45S,29
SEM,46N,34
SEM,46S,35
SEM,48E,33
SEM,48O,30
SEM,50E,32
SEM,50O,34
SEM,52E,21
SEM,52O,19
SEM,55N,21
SEM,55S,26
SEM,56E,35
SEM,56O,31
SEM,58E,31
SEM,58O,28
SEM,60E,23
SEM,60O,22
SEM,61N,28
SEM,61S,28
SEM,63N,37
SEM,63S,34
SEM,65N,46
SEM,65S,49
SEM,66E,27
SEM,66O,24
SEM,70E,36
SEM,70O,33
SEM,713N,17
SEM,713S,19
SEM,730N,6
SEM,730S,6
SEM,73N,42
SEM,73S,42
SEM,744E,4
SEM,744O,4
SEM,74E,20
SEM,74O,21
SEM,76E,41
SEM,76O,43
SEM,901N,8
SEM,901S,6
SEM,902N,22
SEM,902S,22
SEM,903N,23
SEM,903S,27
SEM,925N,12
SEM,925S,11
SEM,942E,4
SEM,942O,4
DIM,12E,16
DIM,12O,16
DIM,144E,26
DIM,144O,27
DIM,151N,28
DIM,151S,27
DIM,17N,23
DIM,17S,21
DIM,20E,17
DIM,20O,16
DIM,222E,7
DIM,222O,6
DIM,22E,15
DIM,22O,14
DIM,24E,28
DIM,24O,28
DIM,26E,47
DIM,26O,51
DIM,27N,18
DIM,27S,18
DIM,313N,1
DIM,313S,1
DIM,31N,18
DIM,31S,20
DIM,33N,12
DIM,33S,11
DIM,360N,25
DIM,37N,13
DIM,37S,13
DIM,39N,26
DIM,39S,24
DIM,40E,26
DIM,40O,26
DIM,42E,50
DIM,42O,50
DIM,43N,20
DIM,43S,20
DIM,45N,18
DIM,45S,18
DIM,46N,30
DIM,46S,29
DIM,48E,20
DIM,48O,19
DIM,50E,25
DIM,50O,25
DIM,52E,19
DIM,52O,18
DIM,55N,17
DIM,55S,18
DIM,56E,27
DIM,56O,27
DIM,58E,18
DIM,58O,17
DIM,60E,17
DIM,60O,19
DIM,61N,19
DIM,61S,18
DIM,63N,19
DIM,63S,17
DIM,65N,19
DIM,65S,17
DIM,66E,27
DIM,66O,26
DIM,70E,26
DIM,70O,28
DIM,73N,19
DIM,73S,21
DIM,74E,17
DIM,74O,18
DIM,76E,31
DIM,76O,29
DIM,903N,17
DIM,903S,15
SAM,12E,17
SAM,12O,17
SAM,144E,28
SAM,144O,28
SAM,151N,29
SAM,151S,27
SAM,17N,24
SAM,17S,21
SAM,20E,18
SAM,20O,18
SAM,222E,8
SAM,222O,7
SAM,22E,17
SAM,22O,16
SAM,24E,30
SAM,24O,30
SAM,26E,51
SAM,26O,51
SAM,27N,21
SAM,27S,20
SAM,2E,3
SAM,2O,2
SAM,313N,1
SAM,313S,1
SAM,31N,19
SAM,31S,21
SAM,33N,12
SAM,33S,11
SAM,360N,36
SAM,37N,13
SAM,37S,13
SAM,39N,26
SAM,39S,24
SAM,40E,27
SAM,40O,27
SAM,42E,51
SAM,42O,51
SAM,43N,20
SAM,43S,22
SAM,45N,18
SAM,45S,18
SAM,46N,30
SAM,46S,30
SAM,48E,22
SAM,48O,23
SAM,50E,25
SAM,50O,26
SAM,52E,21
SAM,52O,19
SAM,55N,18
SAM,55S,18
SAM,56E,27
SAM,56O,28
SAM,58E,19
SAM,58O,19
SAM,60E,19
SAM,60O,20
SAM,61N,20
SAM,61S,19
SAM,63N,21
SAM,63S,21
SAM,65N,21
SAM,65S,18
SAM,66E,27
SAM,66O,26
SAM,70E,26
SAM,70O,28
SAM,73N,22
SAM,73S,23
SAM,74E,17
SAM,74O,18
SAM,76E,31
SAM,76O,31
SAM,903N,18
SAM,903S,17
SEM,12E,21
SEM,12O,21
SEM,144E,38
SEM,144O,40
SEM,151N,65
SEM,151S,67
SEM,17N,40
SEM,17S,39
SEM,20E,21
SEM,20O,20
SEM,222E,14
SEM,222O,17
SEM,22E,20
SEM,22O,21
SEM,24E,39
SEM,24O,42
SEM,252E,7
SEM,252O,8
SEM,26E,89
SEM,26O,92
SEM,27N,28
SEM,27S,27
SEM,2E,4
SEM,2O,7
SEM,313N,2
SEM,313S,2
SEM,31N,31
SEM,31S,34
SEM,33N,24
SEM,33S,26
SEM,36E,9
SEM,36O,9
SEM,37N,35
SEM,37S,33
SEM,39N,28
SEM,39S,30
SEM,40E,45
SEM,40O,45
SEM,41N,5
SEM,41S,4
SEM,42E,76
SEM,42O,76
SEM,43N,24
SEM,43S,26
SEM,45N,27
SEM,45S,29
SEM,46N,34
SEM,46S,35
SEM,48E,33
SEM,48O,30
SEM,50E,32
SEM,50O,34
SEM,52E,21
SEM,52O,19
SEM,55N,21
SEM,55S,26
SEM,56E,35
SEM,56O,31
SEM,58E,31
SEM,58O,28
SEM,60E,23
SEM,60O,22
SEM,61N,27
SEM,61S,28
SEM,63N,37
SEM,63S,34
SEM,65N,46
SEM,65S,49
SEM,66E,27
SEM,66O,24
SEM,70E,36
SEM,70O,33
SEM,73N,42
SEM,73S,42
SEM,74E,20
SEM,74O,21
SEM,76E,41
SEM,76O,43
SEM,901N,8
SEM,901S,6
SEM,902N,22
SEM,902S,22
SEM,903N,23
SEM,903S,27
SEM,925N,12
SEM,925S,11
SEM,942E,4
SEM,942O,4
DIM,12E,16
DIM,12O,16
DIM,144E,26
DIM,144O,27
DIM,151N,28
DIM,151S,27
DIM,17N,23
DIM,17S,21
